Countries,Confirmed
Afghanistan,0.5384615384615401
Albania,0.0
Algeria,-37.07692307692308
Andorra,-20.53846153846154
Angola,-0.9230769230769231
Antigua and Barbuda,0.9230769230769231
Argentina,-94.61538461538461
Armenia,-11.769230769230766
Australia,-90.38461538461539
Austria,-135.0
Azerbaijan,1.6923076923076934
Bahamas,1.3076923076923075
Bahrain,73.38461538461539
Bangladesh,24.615384615384613
Barbados,-1.6923076923076925
Belarus,81.0
Belgium,29.307692307692378
Benin,-2.230769230769231
Bhutan,-0.07692307692307693
Bolivia,-7.923076923076923
Bosnia and Herzegovina,-2.92307692307692
Brazil,-178.0
Brunei,-0.7692307692307693
Bulgaria,1.76923076923077
Burkina Faso,20.846153846153847
Cabo Verde,0.8461538461538461
Cambodia,-0.3076923076923077
Cameroon,-52.38461538461539
Canada,-53.46153846153857
Central African Republic,-0.38461538461538464
Chad,-0.6153846153846154
Chile,57.69230769230768
China,4.384615384615387
Colombia,81.61538461538461
Congo (Brazzaville),-3.1538461538461537
Congo (Kinshasa),-4.153846153846153
Costa Rica,-1.23076923076923
Cote d'Ivoire,60.69230769230769
Croatia,-24.153846153846153
Diamond Princess,0.0
Cuba,19.0
Cyprus,-9.923076923076923
Czechia,-132.84615384615384
Denmark,-102.0
Djibouti,24.0
Dominican Republic,-7.15384615384616
Ecuador,-314.2307692307692
Egypt,42.69230769230769
El Salvador,-6.230769230769231
Equatorial Guinea,-0.46153846153846156
Eritrea,-1.6923076923076923
Estonia,-2.07692307692308
Eswatini,-0.23076923076923078
Ethiopia,0.3076923076923075
Fiji,-0.8461538461538461
Finland,7.923076923076934
France,-2128.538461538462
Gabon,-1.0
Gambia,4.615384615384615
Georgia,-3.615384615384615
Germany,-2094.7692307692305
Ghana,10.307692307692307
Greece,-1.1538461538461604
Guatemala,3.0769230769230766
Guinea,20.0
Guyana,5.153846153846153
Haiti,0.6153846153846154
Holy See,-0.15384615384615385
Honduras,-11.692307692307693
Hungary,50.61538461538461
Iceland,-37.46153846153846
India,277.0769230769231
Indonesia,133.30769230769232
Iran,-603.0
Iraq,-20.307692307692307
Ireland,353.38461538461536
Israel,-164.69230769230768
Italy,495.38461538461524
Jamaica,-0.5384615384615383
Japan,156.61538461538464
Jordan,-0.384615384615385
Kazakhstan,8.307692307692307
Kenya,-9.461538461538462
"Korea, South",-39.0
Kuwait,91.84615384615384
Kyrgyzstan,21.384615384615383
Latvia,-3.76923076923077
Lebanon,-3.9230769230769234
Liberia,7.538461538461538
Liechtenstein,-1.7692307692307692
Lithuania,-16.53846153846154
Luxembourg,-54.53846153846153
Madagascar,4.153846153846154
Malaysia,25.538461538461547
Maldives,-0.15384615384615385
Malta,3.1538461538461533
Mauritania,-0.15384615384615385
Mauritius,-15.307692307692307
Mexico,172.53846153846155
Moldova,22.230769230769226
Monaco,-1.5384615384615383
Mongolia,-0.3076923076923077
Montenegro,-5.692307692307692
Morocco,15.0
Namibia,-0.38461538461538464
Nepal,-0.3076923076923077
Netherlands,272.6923076923076
New Zealand,-32.38461538461539
Nicaragua,0.6923076923076923
Niger,16.615384615384613
Nigeria,-2.9230769230769234
North Macedonia,10.46153846153846
Norway,-68.46153846153845
Oman,32.84615384615385
Pakistan,53.38461538461536
Panama,62.53846153846155
Papua New Guinea,-0.07692307692307693
Paraguay,-1.6923076923076925
Peru,489.7692307692308
Philippines,1.4615384615384528
Poland,55.30769230769232
Portugal,-256.1538461538462
Qatar,54.923076923076934
Romania,201.84615384615387
Russia,740.0769230769231
Rwanda,-1.8461538461538463
Saint Lucia,-0.46153846153846156
Saint Vincent and the Grenadines,-0.8461538461538461
San Marino,1.8461538461538467
Saudi Arabia,171.69230769230768
Senegal,2.5384615384615383
Serbia,72.0
Seychelles,-0.23076923076923078
Singapore,79.07692307692308
Slovakia,-18.846153846153847
Slovenia,-7.2307692307692335
Somalia,-1.3846153846153846
South Africa,-32.53846153846154
Spain,-1624.2307692307695
Sri Lanka,1.7692307692307692
Sudan,1.0
Suriname,-0.15384615384615385
Sweden,-30.230769230769226
Switzerland,-234.61538461538464
Taiwan*,-3.6923076923076925
Tanzania,-1.3846153846153846
Thailand,-41.92307692307692
Togo,-3.923076923076923
Trinidad and Tobago,0.3846153846153846
Tunisia,-14.692307692307693
Turkey,1834.1538461538462
Uganda,-1.5384615384615385
Ukraine,151.3846153846154
United Arab Emirates,132.46153846153845
United Kingdom,646.3846153846152
Uruguay,6.384615384615385
US,208.15384615384755
Uzbekistan,95.07692307692308
Venezuela,-0.3076923076923075
Vietnam,-4.384615384615385
Zambia,-0.8461538461538461
Zimbabwe,0.46153846153846156
Dominica,-0.38461538461538464
Grenada,-0.38461538461538464
Mozambique,-0.9230769230769231
Syria,4.769230769230769
Timor-Leste,-0.07692307692307693
Belize,2.1538461538461537
Laos,1.2307692307692308
Libya,-1.2307692307692308
West Bank and Gaza,-11.23076923076923
Guinea-Bissau,-0.7692307692307692
Mali,-5.3076923076923075
Saint Kitts and Nevis,-0.7692307692307693
Kosovo,18.46153846153846
Burma,8.846153846153847
MS Zaandam,-0.5384615384615384
Botswana,-1.0
Burundi,1.6153846153846154
Sierra Leone,-0.6153846153846154
Malawi,2.0769230769230766
South Sudan,-0.3076923076923077
Western Sahara,-0.3076923076923077
Sao Tome and Principe,-0.3076923076923077
Yemen,-0.07692307692307693
